Title,Year,Rating,Runtime,Critic.Score,Box.Office
Latter Days,2003,R,107,43,0.6
Open Water,2003,R,79,72,30.5
I Am David,2003,PG,90,38,0.3
The Yes Men,2003,R,83,84,0.2
Baadasssss!,2003,R,109,91,0.3
Saints and Soldiers,2003,PG-13,90,66,1
The United States of Leland,2003,R,108,34,0.3
The Wild Parrots of Telegraph Hill,2003,G,83,95,2.7
Off the Map,2003,PG-13,105,70,1.3
The Woodsman,2004,R,87,88,1.5
Torque,2004,PG-13,84,23,21.1
Along Came Polly,2004,PG-13,90,26,87.9
Teacher's Pet,2004,PG,74,76,6.3
Win a Date with Tad Hamilton!,2004,PG-13,95,53,16.9
The Butterfly Effect,2004,R,113,33,57.7
The Big Bounce,2004,PG-13,88,16,6.3
The Perfect Score,2004,PG-13,93,17,10.3
Catch That Kid,2004,PG,91,12,16.5
Miracle,2004,PG,135,80,64.3
Barbershop 2: Back in Business,2004,PG-13,106,68,65
50 First Dates,2004,PG-13,99,44,120.8
Highwaymen,2004,R,80,13,0.3
Against the Ropes,2004,PG-13,111,12,5.7
The Best Two Years,2004,PG,112,73,0.2
Welcome to Mooseport,2004,PG-13,110,13,14.2
Confessions of a Teenage Drama Queen,2004,PG,89,13,29.2
The Passion of the Christ,2004,R,127,49,370.2
Club Dread,2004,R,104,29,4.6
Twisted,2004,R,97,1,25
Stateside,2004,R,97,24,0.1
Dirty Dancing: Havana Nights,2004,PG-13,86,22,14.1
Starsky & Hutch,2004,PG-13,101,63,88.2
Hidalgo,2004,PG-13,136,47,67.2
Spartan,2004,R,106,64,4.3
Agent Cody Banks 2: Destination London,2004,PG,100,13,23.2
Secret Window,2004,PG-13,96,46,47.8
NASCAR: The IMAX Experience,2004,PG,40,61,19.9
Taking Lives,2004,R,103,22,32.6
Eternal Sunshine of the Spotless Mind,2004,R,108,93,34.1
Dawn of the Dead,2004,R,101,75,58.9
Never Die Alone,2004,R,88,25,5.5
Scooby-Doo 2: Monsters Unleashed,2004,PG,93,21,84
Hellboy,2004,PG-13,122,81,59
The Prince and Me,2004,PG,111,28,28.1
Walking Tall,2004,PG-13,86,25,45.9
Home on the Range,2004,PG,76,54,49.9
Johnson Family Vacation,2004,PG-13,97,6,31
The Girl Next Door,2004,R,108,55,14.5
The Whole Ten Yards,2004,PG-13,98,4,16.2
Ella Enchanted,2004,PG,96,50,22.8
Connie and Carla,2004,PG-13,98,44,8
The Punisher,2004,R,124,29,33.7
Clifford's Really Big Movie,2004,G,73,53,2.8
Man on Fire,2004,R,146,39,77.7
13 Going on 30,2004,PG-13,98,64,56
Envy,2004,PG-13,99,7,12.2
Bobby Jones: Stroke of Genius,2004,PG,120,26,2.5
Godsend,2004,PG-13,102,4,14.3
Mean Girls,2004,PG-13,97,83,86
New York Minute,2004,PG,91,11,14
Troy,2004,R,163,54,133.1
Breakin' All the Rules,2004,PG-13,85,31,11.8
Shrek 2,2004,PG,93,88,436.5
A Day Without a Mexican,2004,R,100,27,4
Raising Helen,2004,PG-13,119,23,37.4
The Day After Tomorrow,2004,PG-13,124,45,186.6
Soul Plane,2004,R,86,18,13.9
Harry Potter and the Prisoner of Azkaban,2004,PG,142,91,249.4
Garfield,2004,PG,80,15,75.3
Saved!,2004,PG-13,92,61,8.8
The Chronicles of Riddick,2004,PG-13,119,29,56.8
The Stepford Wives,2004,PG-13,93,26,59.3
Around the World in 80 Days,2004,PG,120,31,23.9
Dodgeball: A True Underdog Story,2004,PG-13,92,70,114.2
The Terminal,2004,PG-13,128,61,77
White Chicks,2004,PG-13,109,15,69.1
Fahrenheit 9/11,2004,R,122,83,119.1
Spider-Man 2,2004,PG-13,127,94,373.4
King Arthur,2004,R,126,31,51.7
Sleepover,2004,PG,89,15,8.1
Anchorman: The Legend of Ron Burgundy,2004,PG-13,94,66,84.1
A Cinderella Story,2004,PG,95,11,51.4
The Clearing,2004,R,95,43,5.6
The Bourne Supremacy,2004,PG-13,108,81,176
Catwoman,2004,PG-13,104,9,40.2
She Hate Me,2004,R,138,19,0.0814
Thunderbirds,2004,PG,95,19,6.8
The Manchurian Candidate,2004,R,129,81,65.7
The Village,2004,PG-13,108,43,114.2
Harold & Kumar Go to White Castle,2004,R,88,74,18.2
Before Sunset,2004,R,80,95,5.6
Lightning in a Bottle,2004,PG-13,103,87,0.078
De-Lovely,2004,PG-13,125,48,13.1
The Door in the Floor,2004,R,111,67,3.6
Maria Full of Grace,2004,R,101,97,6.5
Little Black Book,2004,PG-13,111,21,20.4
Collateral,2004,R,120,86,100
The Princess Diaries 2: Royal Engagement,2004,G,113,25,95.1
Yu-Gi-Oh!: The Movie,2004,PG,89,5,19.7
Riding Giants,2004,PG-13,105,93,2.1
AVP: Alien vs. Predator,2004,PG-13,101,21,80.2
Without a Paddle,2004,PG-13,95,14,58.2
Garden State,2004,R,102,86,26.7
Benji: Off the Leash!,2004,PG,97,33,3.6
Exorcist: The Beginning,2004,R,114,11,41.8
Napoleon Dynamite,2004,PG,96,71,44.5
Suspect Zero,2004,R,99,18,8.6
Anacondas: The Hunt for the Blood Orchid,2004,PG-13,97,26,31.5
Superbabies: Baby Geniuses 2,2004,PG,88,0,9
Vanity Fair,2004,PG-13,141,51,16.1
Paparazzi,2004,PG-13,84,18,15.6
Wicker Park,2004,PG-13,114,25,12.8
The Cookout,2004,PG-13,97,5,11.5
We Don't Live Here Anymore,2004,R,101,65,1.9
Gunner Palace,2004,PG-13,85,85,0.0635
Cellular,2004,PG-13,94,55,32
Resident Evil: Apocalypse,2004,R,94,21,50.7
Mr 3000,2004,PG-13,104,54,21.8
Wimbledon,2004,PG-13,98,60,16.8
Sky Captain and the World of Tomorrow,2004,PG,106,72,37.6
First Daughter,2004,PG,106,8,9
The Forgotten,2004,PG-13,91,31,66.6
Shaun of the Dead,2004,R,99,92,13.5
Criminal,2004,R,87,69,0.7
Mean Creek,2004,R,90,90,0.3
Shark Tale,2004,PG,90,35,160.8
Going Upriver: The Long War of John Kerry,2004,PG-13,87,89,0.5
Taxi,2004,PG-13,97,10,36.5
Friday Night Lights,2004,PG-13,118,81,60.6
Raise Your Voice,2004,PG,103,15,10.4
A Home at the End of the World,2004,R,97,49,0.9
Shall We Dance,2004,PG-13,106,46,57.8
Team America: World Police,2004,R,98,77,32.7
The Motorcycle Diaries,2004,R,126,84,16.7
Hair Show,2004,PG-13,105,17,0.2
The Final Cut,2004,PG-13,95,37,0.5
Surviving Christmas,2004,PG-13,91,7,11.2
Woman Thou Art Loosed,2004,R,94,50,6.8
The Assassination of Richard Nixon,2004,R,95,68,0.6
I Heart Huckabees,2004,R,107,62,12.7
The Grudge,2004,PG-13,92,39,110.2
Birth,2004,R,100,38,5
Thérèse: The Story of Saint Thérèse of Lisieux,2004,PG,96,11,0.6
Saw,2004,R,103,48,0.7
Ray,2004,PG-13,152,81,75.2
Alfie,2004,R,103,49,13.4
The Last Shot,2004,R,93,61,0.4
Fade to Black,2004,R,109,58,1
The Polar Express,2004,G,100,55,0.5
Seed of Chucky,2004,R,87,32,17
After the Sunset,2004,PG-13,97,18,28.3
The SpongeBob SquarePants Movie,2004,PG,87,68,85.4
Bridget Jones: The Edge of Reason,2004,R,108,27,40.2
National Treasure,2004,PG,131,44,173
Alexander,2004,R,175,16,34.3
Christmas with the Kranks,2004,PG,99,5,73.7
Eros,2004,R,104,34,0.0537
The Machinist,2004,R,101,77,0.9
Blade: Trinity,2004,R,113,26,52.4
Ocean's Twelve,2004,PG-13,125,55,125.4
Closer,2004,R,104,68,34
Spanglish,2004,PG-13,131,53,42
Flight of the Phoenix,2004,PG-13,113,30,20.9
Lemony Snicket's A Series of Unfortunate Events,2004,PG,108,72,118.5
Meet the Fockers,2004,PG-13,115,38,279.2
The Phantom of the Opera,2004,PG-13,143,32,51.2
Fat Albert,2004,PG,93,25,48
The Aviator,2004,PG-13,170,87,102.6
Beyond the Sea,2004,PG-13,118,42,6.1
Kinsey,2004,R,118,90,10.2
Duck Season,2004,R,90,90,0.1
A Very Long Engagement,2004,R,133,78,6.2
In Good Company,2004,PG-13,109,83,45.5
Around the Bend,2004,R,85,28,0.1
Sideways,2004,R,126,96,71.4
A Love Song for Bobby Long,2004,R,119,43,0.1
The Work and the Glory,2004,PG,118,17,3
Million Dollar Baby,2004,PG-13,132,91,100.4
Riding the Bullet,2004,R,98,27,0.1
Hotel Rwanda,2004,PG-13,121,90,23.5
P.S.,2004,R,97,55,0.1
Being Julia,2004,R,104,76,7.7
The Merchant of Venice,2004,R,138,72,3.8
Eulogy,2004,R,91,32,0.0418
Born Into Brothels: Calcutta's Red Light Kids,2004,R,85,96,3.4
Bride & Prejudice,2004,PG-13,122,64,6.5
Melinda and Melinda,2004,PG-13,99,53,3.7
House of D,2004,PG-13,97,10,0.4
Jiminy Glick in Lalawood,2004,R,90,22,0.0257
Crash,2004,R,112,75,55.4
A Good Woman,2004,PG,93,37,0.0971
Primer,2004,PG-13,77,72,0.4
Saving Face,2004,R,91,87,1
Yes,2004,R,100,52,0.2
My Date with Drew,2004,PG,90,71,0.0852
Innocent Voices,2004,R,120,71,0.2
Winter Solstice,2004,R,90,60,0.2
Paper Clips,2004,G,82,72,1
Haven,2004,R,115,13,0.1
Romance & Cigarettes,2005,R,105,54,0.4
The Dying Gaul,2005,R,101,49,0.3
The Salon,2005,PG-13,90,12,0.0924
Why We Fight,2005,PG-13,98,78,1.9
White Noise,2005,PG-13,101,8,55.9
Elektra,2005,PG-13,97,10,24.3
Racing Stripes,2005,PG,102,35,49.2
Coach Carter,2005,PG-13,136,65,67.2
Assault on Precinct 13,2005,R,109,60,20
Are We There Yet?,2005,PG,95,11,82.3
Hide and Seek,2005,R,101,13,51
Alone in the Dark,2005,R,96,1,5.1
Boogeyman,2005,PG-13,89,13,46.4
The Wedding Date,2005,PG-13,90,10,32
Hitch,2005,PG-13,118,69,177.6
Pooh's Heffalump Movie,2005,G,68,79,18
Constellation,2005,PG-13,96,0,0.2
Constantine,2005,R,121,46,75.5
Because of Winn-Dixie,2005,PG,106,54,32.6
Son of the Mask,2005,PG,94,6,17
Diary of a Mad Black Woman,2005,PG-13,116,16,50.4
Man of the House,2005,PG-13,100,9,19.1
The Jacket,2005,R,103,44,6.3
The Pacifier,2005,PG,95,20,113
Be Cool,2005,PG-13,118,30,55.6
Hostage,2005,R,113,35,34.6
Robots,2005,PG,91,64,128.1
The Ring Two,2005,PG-13,110,20,75.9
Ice Princess,2005,G,98,52,24.4
Miss Congeniality 2: Armed and Fabulous,2005,PG-13,115,15,48.4
Guess Who,2005,PG-13,105,43,68
Beauty Shop,2005,PG-13,105,37,36.3
The Upside of Anger,2005,R,118,74,18.7
The Ballad of Jack and Rose,2005,R,112,47,0.6
Fever Pitch,2005,PG-13,104,65,42
Sahara,2005,PG-13,124,39,68.6
State Property 2,2005,R,94,14,1.7
Down and Derby,2005,PG,90,22,0.0439
The Amityville Horror,2005,R,90,23,64.3
The Great New Wonderful,2005,R,87,73,0.0397
The Interpreter,2005,PG-13,128,56,72.5
A Lot Like Love,2005,PG-13,107,41,21.8
Dust to Glory,2005,PG,97,60,0.6
The Game of Their Lives,2005,PG,101,26,0.4
King's Ransom,2005,PG-13,95,2,4
Madison,2005,PG,99,29,0.5
Factotum,2005,R,94,76,0.6
xXx: State of the Union,2005,PG-13,101,16,26.1
House of Wax,2005,R,113,25,32
Kingdom of Heaven,2005,R,144,39,47.3
Last Days,2005,R,97,57,0.4
Monster-in-Law,2005,PG-13,101,16,82.8
Unleashed,2005,R,103,65,24.4
Kicking & Screaming,2005,PG,95,41,52.6
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,80,380.2
Dominion: Prequel to the Exorcist,2005,R,117,30,0.2
The Longest Yard,2005,PG-13,113,31,158
Madagascar,2005,PG,86,55,193.1
Duma,2005,PG,100,93,0.8
The Sisterhood of the Traveling Pants,2005,PG,119,77,43.5
Cinderella Man,2005,PG-13,144,80,61.6
Lords of Dogtown,2005,PG-13,107,55,11
Mr. & Mrs. Smith,2005,PG-13,120,59,186.1
The Honeymooners,2005,PG-13,90,14,12.8
Batman Begins,2005,PG-13,140,85,205.2
The Perfect Man,2005,PG,100,6,16.2
Herbie Fully Loaded,2005,G,101,41,65.9
Bewitched,2005,PG-13,102,25,62.3
Land of the Dead,2005,R,93,74,20.4
Rize,2005,PG-13,86,83,3.3
War of the Worlds,2005,PG-13,116,74,234.1
Mad Hot Ballroom,2005,PG,105,84,7.9
Rebound,2005,PG,103,13,16.7
Dark Water,2005,PG-13,105,46,25.4
Fantastic Four,2005,PG-13,106,26,154.5
Heights,2005,R,93,64,1
Charlie and the Chocolate Factory,2005,PG,115,83,206.4
Wedding Crashers,2005,R,119,75,209.2
March of the Penguins,2005,G,80,94,77.4
The Island,2005,PG-13,136,40,35.8
Hustle & Flow,2005,R,116,82,22.1
The Devil's Rejects,2005,R,107,53,16.9
Stealth,2005,PG-13,121,13,31.7
Sky High,2005,PG,100,73,63.9
Must Love Dogs,2005,PG-13,98,35,43.8
Happy Endings,2005,R,128,54,1.2
The Wendell Baker Story,2005,PG-13,99,40,0.0481
The Dukes of Hazzard,2005,PG-13,104,13,80.2
Murderball,2005,R,88,98,1.3
Me and You and Everyone We Know,2005,R,91,81,3.7
Deuce Bigalow: European Gigolo,2005,R,83,9,22.3
The Skeleton Key,2005,PG-13,104,38,47.7
The Great Raid,2005,R,132,37,10.1
Supercross,2005,PG-13,80,6,3
Valiant,2005,G,76,31,19.4
The 40-Year-Old Virgin,2005,R,116,85,109.2
Red Eye,2005,PG-13,85,79,57.9
Don't Come Knocking,2005,R,122,42,0.3
Aliens of the Deep,2005,G,100,84,8.3
Broken Flowers,2005,R,106,88,13.6
The Cave,2005,PG-13,97,11,14.9
Undiscovered,2005,PG-13,97,8,1
The Constant Gardener,2005,R,129,84,33.6
Grizzly Man,2005,R,103,93,2.9
A Sound of Thunder,2005,PG-13,101,6,1.7
Underclassman,2005,PG-13,95,6,5.6
Nine Lives,2005,R,115,75,0.1
Mobsters and Mormons,2005,PG,90,75,0.0679
The Man,2005,PG-13,83,11,8.3
Green Street Hooligans,2005,R,109,47,0.1
Lord of War,2005,R,122,61,24
An Unfinished Life,2005,PG-13,108,53,8.5
Cry_Wolf,2005,PG-13,90,22,10
Just Like Heaven,2005,PG-13,95,56,48.3
Venom,2005,R,85,11,0.8
Junebug,2005,R,106,86,2.4
Corpse Bride,2005,PG,77,83,53.3
Flightplan,2005,PG-13,98,38,89.6
The Thing About My Folks,2005,PG-13,96,45,0.7
A History of Violence,2005,R,96,87,31.4
Serenity,2005,PG-13,119,82,25.3
Into the Blue,2005,PG-13,110,21,18.5
The Greatest Game Ever Played,2005,PG,120,63,15.3
In Her Shoes,2005,PG-13,130,75,32.8
Thumbsucker,2005,R,96,71,1.1
Two for the Money,2005,R,122,22,22.9
Waiting...,2005,R,94,31,16.1
The Gospel,2005,PG,105,32,15.8
Proof,2005,PG-13,100,62,7.5
The Curse of the Were-Rabbit,2005,G,85,95,56.1
Elizabethtown,2005,PG-13,123,28,26.8
The Fog,2005,PG-13,100,4,29.5
Everything Is Illuminated,2005,PG-13,106,66,1.6
Stay,2005,R,99,27,3.3
North Country,2005,R,126,68,18.3
The Work and the Glory II: American Zion,2005,PG-13,100,45,1.9
Doom,2005,R,105,19,28
El vacilón: The Movie,2005,R,90,0,1.7
Dreamer: Inspired by a True Story,2005,PG,106,64,33
Prime,2005,PG-13,105,50,22.7
The Weather Man,2005,R,102,58,12.5
Saw II,2005,R,93,36,87
The Legend of Zorro,2005,PG,129,26,45.4
Shopgirl,2005,R,106,61,10.1
Jarhead,2005,R,125,61,62.6
Chicken Little,2005,G,81,36,135.3
"Good Night, and Good Luck.",2005,PG,93,93,31.5
Get Rich or Die Tryin',2005,R,117,16,30.9
Zathura: A Space Adventure,2005,PG,101,75,28
Derailed,2005,R,108,20,35.9
Harry Potter and the Goblet of Fire,2005,PG-13,157,88,290
Kiss Kiss Bang Bang,2005,R,103,85,4.2
Walk the Line,2005,PG-13,136,82,119.3
In the Mix,2005,PG-13,95,14,10.1
"Yours, Mine & Ours",2005,PG,90,6,53.4
Rent,2005,PG-13,135,46,29.1
Pride & Prejudice,2005,PG,129,85,38.3
Just Friends,2005,PG-13,96,41,32.6
Bee Season,2005,PG-13,104,43,1.1
First Descent,2005,PG-13,110,52,0.7
Æon Flux,2005,PG-13,93,10,25.9
Down in the Valley,2005,R,114,52,0.4
Syriana,2005,R,128,72,50.8
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,76,291.7
King Kong,2005,PG-13,187,84,218.1
The Family Stone,2005,PG-13,103,51,59.9
The Squid and the Whale,2005,R,81,93,7.1
Fun with Dick and Jane,2005,PG-13,90,29,110.3
Cheaper by the Dozen 2,2005,PG,94,6,82.5
The Ringer,2005,PG-13,94,40,35
Memoirs of a Geisha,2005,PG-13,145,35,57
The Producers,2005,PG-13,134,51,19.2
Rumor Has It...,2005,PG-13,97,20,42.7
Little Manhattan,2005,PG,90,77,0.4
BloodRayne,2005,R,95,4,1.6
Casanova,2005,R,112,44,11.2
Hostel,2005,R,94,61,47.3
Munich,2005,R,164,78,47.4
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,PG-13,103,22,0.2
Hoodwinked!,2005,PG,80,46,50.8
Brokeback Mountain,2005,R,134,87,83
End of the Spear,2005,PG-13,108,40,11.7
Match Point,2005,R,124,76,23.1
The New World,2005,PG-13,135,62,12.5
Looking for Comedy in the Muslim World,2005,PG-13,98,42,0.8
Nanny McPhee,2005,PG,97,73,47.1
The Matador,2005,R,96,74,12.4
Capote,2005,R,114,90,28.3
Mrs Henderson Presents,2005,R,103,67,11
The Three Burials of Melquiades Estrada,2005,R,121,85,4.9
Transamerica,2005,R,103,76,8.7
Block Party,2005,R,103,92,11.7
Mirrormask,2005,PG,101,54,0.8
V for Vendetta,2005,R,132,73,70.5
The World's Fastest Indian,2005,PG-13,127,82,5
The White Countess,2005,PG-13,135,50,1.6
Wassup Rockers,2005,R,111,36,0.1
When Do We Eat?,2005,R,86,42,0.4
Brick,2005,R,110,80,2
Preaching to the Choir,2005,PG-13,103,36,0.3
Thank You for Smoking,2005,R,92,86,24.6
La mujer de mi hermano,2005,R,89,20,2.8
Hard Candy,2005,R,104,68,1
The Promise,2005,PG-13,121,31,0.6
The Notorious Bettie Page,2005,R,91,56,1.4
An American Haunting,2005,PG-13,83,12,16.2
Goal! The Dream Begins,2005,PG-13,118,44,4.2
Pretty Persuasion,2005,R,104,32,0.0586
The Lost City,2005,R,144,25,2.4
Kinky Boots,2005,PG-13,107,57,1.7
The Heart of the Game,2005,PG-13,97,86,0.4
Shadowboxer,2005,R,93,18,0.3
Strangers with Candy,2005,R,97,52,1.9
Leonard Cohen: I'm Your Man,2005,PG-13,105,69,0.8
Boynton Beach Club,2005,R,105,60,3
The Quiet,2005,R,96,21,0.3
Trust the Man,2005,R,103,27,1.5
Lassie,2005,PG,100,93,0.5
The Protector,2005,R,81,54,11.9
Harsh Times,2005,R,116,48,3.3
Slow Burn,2005,R,93,12,1.2
Adam & Steve,2005,R,99,55,0.2
"The Prize Winner of Defiance, Ohio",2005,PG-13,99,57,0.4
How the Garcia Girls Spent Their Summer,2005,R,128,79,0.0914
Sweet Land,2005,PG,110,85,1.3
Love's Abiding Joy,2006,PG,87,13,0.2
Grandma's Boy,2006,R,94,18,5.9
Last Holiday,2006,PG-13,112,55,38.4
Tristan + Isolde,2006,PG-13,125,32,14.6
Underworld: Evolution,2006,R,106,16,62.3
Big Momma's House 2,2006,PG-13,99,6,70.1
Roving Mars,2006,G,40,70,10
Annapolis,2006,PG-13,108,10,16.8
Something New,2006,PG-13,99,61,11.4
When a Stranger Calls,2006,PG-13,87,9,47.9
Believe in Me,2006,PG,131,60,0.2
Final Destination 3,2006,R,93,43,54.1
Curious George,2006,G,86,69,58.3
The Pink Panther,2006,PG,93,22,82.2
Firewall,2006,PG-13,105,19,48.7
Freedomland,2006,R,113,23,12.3
Eight Below,2006,PG,120,72,81.6
The Second Chance,2006,PG-13,102,40,0.4
Date Movie,2006,PG-13,83,7,48.5
Madea's Family Reunion,2006,PG-13,107,25,63.2
Running Scared,2006,R,122,40,6.7
Doogal,2006,G,78,8,7.3
Deep Sea,2006,G,41,91,42
Aquamarine,2006,PG,104,51,18.6
Ultraviolet,2006,PG-13,88,9,18.3
16 Blocks,2006,PG-13,105,55,36.9
Failure to Launch,2006,PG-13,97,24,88.7
The Shaggy Dog,2006,PG,98,26,61
The Hills Have Eyes,2006,R,107,49,41.7
Don't Trip... He Ain't Through with Me Yet,2006,PG,90,45,0.2
Church Ball,2006,PG,91,18,0.3
Find Me Guilty,2006,R,125,61,0.6
Inside Man,2006,R,129,86,88.4
Larry the Cable Guy: Health Inspector,2006,PG-13,89,5,15.7
Stay Alive,2006,PG-13,85,9,23
Slither,2006,R,95,86,7.8
ATL,2006,PG-13,105,62,21.2
Basic Instinct 2,2006,R,114,7,5.9
Ice Age: The Meltdown,2006,PG,91,57,195.3
The Benchwarmers,2006,PG-13,80,11,57.7
Phat Girlz,2006,PG-13,99,23,6.9
Take the Lead,2006,PG-13,118,44,34.7
Ask the Dust,2006,R,117,35,0.6
Scary Movie 4,2006,PG-13,83,37,90.7
The Wild,2006,G,94,20,37.3
The Sentinel,2006,PG-13,108,33,36.2
American Dreamz,2006,PG-13,107,41,7.2
Journey from the Fall,2006,R,135,92,0.5
Silent Hill,2006,R,125,29,47
Akeelah and the Bee,2006,PG,112,84,18.8
Stick It,2006,PG-13,103,31,26.9
The TV Set,2006,R,88,64,0.0345
United 93,2006,R,111,91,31.5
RV,2006,PG,99,23,71.4
Hoot,2006,PG,91,26,8.1
Mission: Impossible III,2006,PG-13,126,70,133.4
Art School Confidential,2006,R,102,36,3.2
Just My Luck,2006,PG-13,103,13,17.2
Poseidon,2006,PG-13,98,33,60.7
See No Evil,2006,R,84,8,15
Over the Hedge,2006,PG,83,75,155
The Da Vinci Code,2006,PG-13,149,25,217.5
X-Men: The Last Stand,2006,PG-13,104,58,234.2
The Break-Up,2006,PG-13,106,33,118.7
Keeping Up with the Steins,2006,PG-13,90,37,4.3
The Omen,2006,R,110,27,54.6
A Prairie Home Companion,2006,PG-13,105,81,20.2
Cars,2006,G,117,74,244.1
Garfield 2,2006,PG,78,11,28.3
The Fast and the Furious: Tokyo Drift,2006,PG-13,104,37,62.5
The Lake House,2006,PG,99,35,52.3
Nacho Libre,2006,PG,92,40,80.2
Click,2006,PG-13,107,32,137.3
Peaceful Warrior,2006,PG-13,120,25,1
Romeo & Juliet: Sealed with a Kiss,2006,G,76,20,0.0809
Waist Deep,2006,R,97,27,21.3
Superman Returns,2006,PG-13,154,76,200
The Devil Wears Prada,2006,PG-13,109,75,124.7
An Inconvenient Truth,2006,PG,100,93,23.7
Quinceañera,2006,R,90,86,1.5
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,151,54,423
"You, Me and Dupree",2006,PG-13,108,21,75.6
Littleman,2006,PG-13,98,12,58.3
The Celestine Prophecy,2006,PG,99,4,1
Monster House,2006,PG,91,74,73.7
Lady in the Water,2006,PG-13,110,24,42.2
Wordplay,2006,PG,94,95,2.9
Clerks II,2006,R,97,63,24
My Super Ex-Girlfriend,2006,PG-13,95,40,22.4
Miami Vice,2006,R,134,47,63.4
John Tucker Must Die,2006,PG-13,89,26,40.9
Scoop,2006,PG-13,96,39,10.5
The Ant Bully,2006,PG,88,63,28.1
A Scanner Darkly,2006,R,100,69,5.3
Barnyard,2006,PG,90,22,72.6
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108,72,148.2
Who Killed the Electric Car?,2006,PG,92,88,1.3
The Night Listener,2006,R,91,40,7.8
World Trade Center,2006,PG-13,129,68,70.2
The Butterfly Effect 2,2006,R,92,0,57
Pulse,2006,PG-13,90,10,20.2
Step Up,2006,PG-13,104,19,65.3
Zoom,2006,PG,83,3,11.6
Snakes on a Plane,2006,R,105,68,33.9
Accepted,2006,PG-13,93,36,36.3
Little Miss Sunshine,2006,R,101,91,59.8
Material Girls,2006,PG,97,4,11.3
Invincible,2006,PG,105,71,57.8
How to Eat Fried Worms,2006,PG,98,59,13
Idlewild,2006,R,121,48,12.5
Beerfest,2006,R,110,41,19
Crank,2006,R,88,61,27.8
Crossover,2006,PG-13,95,2,7
The Illusionist,2006,PG-13,110,74,39.7
The Covenant,2006,PG-13,97,3,23.3
Hollywoodland,2006,R,126,69,14.3
Broken Bridges,2006,PG-13,105,5,0.2
Everyone's Hero,2006,G,88,41,14.5
The Last Kiss,2006,R,104,46,11.5
Beer League,2006,R,86,27,0.5
Gridiron Gang,2006,PG-13,125,42,38.4
The Black Dahlia,2006,R,121,32,22.5
Flyboys,2006,PG-13,140,33,13
Jackass Number Two,2006,R,92,63,72.8
Half Nelson,2006,R,106,90,2.6
Open Season,2006,PG,83,48,84.3
School for Scoundrels,2006,PG-13,100,25,17.8
Facing the Giants,2006,PG,111,13,10.1
The Guardian,2006,PG-13,139,37,55
The Texas Chainsaw Massacre: The Beginning,2006,R,91,12,39.4
The Departed,2006,R,151,91,132.3
Employee of the Month,2006,PG-13,103,20,28.4
Infamous,2006,R,110,73,1.1
The Grudge 2,2006,PG-13,102,10,39.1
One Night with the King,2006,PG,123,19,13.4
A Guide to Recognizing Your Saints,2006,R,100,76,0.4
Alex Rider: Operation Stormbreaker,2006,PG,93,34,0.6
Man of the Year,2006,PG-13,115,21,37.4
The Marine,2006,PG-13,92,20,18.7
O Jerusalem,2006,R,100,35,0.2
Fur: An Imaginary Portrait of Diane Arbus,2006,R,122,32,0.1
Flags of Our Fathers,2006,R,135,73,33.6
Marie Antoinette,2006,PG-13,123,55,16
The Prestige,2006,PG-13,130,76,53
Flicka,2006,PG,95,54,20.9
Lonely Hearts,2006,R,108,48,0.1
Running with Scissors,2006,R,116,31,6.8
Saw III,2006,R,108,28,80.2
Conversations with God,2006,PG,109,7,0.3
Catch a Fire,2006,PG-13,101,76,4.3
Little Children,2006,R,136,80,5.3
The Santa Clause 3: The Escape Clause,2006,G,97,15,84.4
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,84,91,128.4
Flushed Away,2006,PG,85,72,64.5
Babel,2006,R,143,69,34.2
Breaking and Entering,2006,R,120,34,0.9
The Return,2006,PG-13,85,16,7.7
A Good Year,2006,PG-13,117,25,7.4
Goya's Ghosts,2006,R,113,30,0.7
Stranger Than Fiction,2006,PG-13,113,72,40.1
The Queen,2006,PG-13,103,97,56.2
Happy Feet,2006,PG,108,75,197.9
Fast Food Nation,2006,R,116,50,0.9
Let's Go to Prison,2006,R,84,12,5.5
Casino Royale,2006,PG-13,144,95,167
The Fountain,2006,PG-13,96,51,10
For Your Consideration,2006,PG-13,86,50,5.5
Deck the Halls,2006,PG,93,6,35.1
Tenacious D in The Pick of Destiny,2006,R,93,54,8.2
Deja Vu,2006,PG-13,126,55,63.9
Bobby,2006,R,120,46,11.1
The Nativity Story,2006,PG,101,38,37.6
Turistas,2006,R,93,16,6.9
Van Wilder 2: The Rise of Taj,2006,R,97,7,3.8
The U.S. vs. John Lennon,2006,PG-13,99,77,1
The Holiday,2006,PG-13,138,47,63.2
Apocalypto,2006,R,139,65,50.8
Unaccompanied Minors,2006,PG,90,31,16.6
Blood Diamond,2006,R,143,62,57.3
Charlotte's Web,2006,G,97,78,82.1
The Pursuit of Happyness,2006,PG-13,117,67,162.6
Rocky Balboa,2006,PG,102,76,70.1
We Are Marshall,2006,PG,131,49,43.5
Night at the Museum,2006,PG,108,44,250.8
The Good Shepherd,2006,R,167,54,59.8
Dreamgirls,2006,PG-13,130,78,103.3
