Title	Year	Rating	Runtime	Tomato Meter	Box Office
Johnny English	2003	PG	87 min	33	$28.0M
How to Deal	2003	PG-13	101 min	28	$14.1M
Bad Boys II	2003	R	147 min	23	$138.4M
Lara Croft Tomb Raider: The Cradle of Life	2003	PG-13	117 min	24	$65.7M
Seabiscuit	2003	PG-13	140 min	77	$120.1M
Spy Kids 3-D: Game Over	2003	PG	84 min	45	$111.7M
American Wedding	2003	R	96 min	55	$104.4M
Northfork	2003	PG-13	103 min	56	$1.3M
All the Real Girls	2003	R	108 min	71	$0.1M
Freaky Friday	2003	PG	97 min	88	$110.2M
Masked and Anonymous	2003	PG-13	112 min	24	$0.1M
S.W.A.T.	2003	PG-13	117 min	48	$116.6M
Uptown Girls	2003	PG-13	92 min	14	$36.9M
Freddy vs. Jason	2003	R	97 min	40	$82.2M
Open Range	2003	R	139 min	79	$58.3M
Grind	2003	PG-13	105 min	8	$5.1M
The Medallion	2003	PG-13	88 min	18	$22.0M
Marci X	2003	R	84 min	9	$1.5M
Camp	2003	PG-13	114 min	63	$1.6M
Le divorce	2003	PG-13	117 min	37	$8.9M
Step Into Liquid	2003	PG	88 min	82	$3.6M
Jeepers Creepers II	2003	R	104 min	23	$35.1M
The Order	2003	R	102 min	8	$7.5M
Dickie Roberts: Former Child Star	2003	PG-13	98 min	23	$22.7M
American Splendor	2003	R	101 min	94	$6.0M
Matchstick Men	2003	PG-13	116 min	82	$36.9M
Once Upon a Time in Mexico	2003	R	102 min	68	$55.8M
Anything Else	2003	R	108 min	40	$3.1M
Underworld	2003	R	121 min	31	$51.5M
Thirteen	2003	R	100 min	81	$4.5M
Cold Creek Manor	2003	R	118 min	12	$21.3M
Secondhand Lions	2003	PG	109 min	59	$41.4M
The Fighting Temptations	2003	PG-13	123 min	42	$30.2M
Luther	2003	PG-13	123 min	44	$5.7M
Under the Tuscan Sun	2003	PG-13	113 min	62	$43.5M
The Rundown	2003	PG-13	104 min	71	$47.6M
School of Rock	2003	PG-13	108 min	92	$81.2M
Lost in Translation	2003	R	101 min	95	$44.6M
House of the Dead	2003	R	90 min	4	$10.2M
Good Boy!	2003	PG	87 min	45	$37.6M
Intolerable Cruelty	2003	PG-13	100 min	75	$35.1M
Mystic River	2003	R	138 min	87	$90.1M
Party Monster	2003	R	98 min	29	$0.3M
The Texas Chainsaw Massacre	2003	R	98 min	36	$80.1M
Runaway Jury	2003	PG-13	127 min	72	$49.2M
Scary Movie 3	2003	PG-13	84 min	36	$109.8M
Wonderland	2003	R	104 min	34	$1.0M
Beyond Borders	2003	R	127 min	14	$4.4M
Radio	2003	PG	109 min	36	$52.3M
In the Cut	2003	R	119 min	34	$4.7M
Brother Bear	2003	G	85 min	38	$85.1M
The Matrix Revolutions	2003	R	129 min	36	$139.1M
Elf	2003	PG	97 min	84	$173.4M
Master and Commander: The Far Side of the World	2003	PG-13	138 min	85	$93.9M
Love Actually	2003	R	135 min	63	$59.4M
The Singing Detective	2003	R	109 min	39	$0.3M
Elephant	2003	R	81 min	72	$1.2M
Looney Tunes: Back in Action	2003	PG	91 min	57	$20.9M
Tupac: Resurrection	2003	R	112 min	78	$7.6M
Dr. Seuss' The Cat in the Hat	2003	PG	82 min	10	$100.4M
Gothika	2003	R	98 min	14	$59.5M
The Missing	2003	R	137 min	58	$26.8M
Timeline	2003	PG-13	116 min	12	$19.4M
Shattered Glass	2003	PG-13	94 min	91	$2.1M
The Haunted Mansion	2003	PG	88 min	13	$75.8M
Pieces of April	2003	PG-13	80 min	84	$2.4M
Honey	2003	PG-13	94 min	21	$30.2M
Pride and Prejudice	2003	PG	104 min	66	$81.4k
The Last Samurai	2003	R	154 min	65	$111.1M
Love Don't Cost a Thing	2003	PG-13	100 min	13	$21.7M
Something's Gotta Give	2003	PG-13	128 min	71	$124.6M
The Lord of the Rings: The Return of the King	2003	PG-13	201 min	95	$377.0M
Mona Lisa Smile	2003	PG-13	117 min	35	$63.7M
Paycheck	2003	PG-13	119 min	27	$53.7M
Peter Pan	2003	PG	113 min	77	$48.4M
Cheaper by the Dozen	2003	PG	98 min	24	$138.5M
The Young Black Stallion	2003	G	45 min	45	$6.1M
Calendar Girls	2003	PG-13	108 min	74	$30.9M
Casa de los babys	2003	R	95 min	58	$0.3M
Big Fish	2003	PG-13	125 min	77	$66.3M
House of Sand and Fog	2003	R	126 min	75	$12.9M
"The Book of Mormon Movie, Volume 1: The Journey"	2003	PG-13	120 min	17	$1.1M
21 Grams	2003	R	124 min	80	$16.2M
The Cooler	2003	R	101 min	77	$8.2M
Monster	2003	R	109 min	82	$34.2M
Concert for George	2003	PG-13	146 min	94	$70.0k
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara	2003	PG-13	95 min	98	$4.1M
Touching the Void	2003	R	106 min	93	$4.5M
Billabong Odyssey	2003	PG	88 min	36	$54.0k
Easy	2003	R	99 min	59	$14.8k
Bukowski: Born into This	2003	R	130 min	83	$81.7k
I'll Sleep When I'm Dead	2003	R	103 min	43	$0.2M
The Company	2003	R	112 min	71	$2.2M
Where's the Party Yaar?	2003	PG-13	110 min	69	$48.8k
Coffee and Cigarettes	2003	R	95 min	65	$2.0M
Latter Days	2003	R	107 min	43	$0.6M
Open Water	2003	R	79 min	72	$30.5M
I Am David	2003	PG	90 min	38	$0.3M
The Yes Men	2003	R	83 min	84	$0.2M
Baadasssss!	2003	R	109 min	91	$0.3M
Saints and Soldiers	2003	PG-13	90 min	66	$1.0M
The United States of Leland	2003	R	108 min	34	$0.3M
The Wild Parrots of Telegraph Hill	2003	G	83 min	95	$2.7M
Off the Map	2003	PG-13	105 min	70	$1.3M
The Woodsman	2004	R	87 min	88	$1.5M
Torque	2004	PG-13	84 min	23	$21.1M
Along Came Polly	2004	PG-13	90 min	26	$87.9M
Teacher's Pet	2004	PG	74 min	76	$6.3M
Win a Date with Tad Hamilton!	2004	PG-13	95 min	53	$16.9M
The Butterfly Effect	2004	R	113 min	33	$57.7M
The Big Bounce	2004	PG-13	88 min	16	$6.3M
The Perfect Score	2004	PG-13	93 min	17	$10.3M
Catch That Kid	2004	PG	91 min	12	$16.5M
Miracle	2004	PG	135 min	80	$64.3M
Barbershop 2: Back in Business	2004	PG-13	106 min	68	$65.0M
50 First Dates	2004	PG-13	99 min	44	$120.8M
Highwaymen	2004	R	80 min	13	$0.3M
Against the Ropes	2004	PG-13	111 min	12	$5.7M
The Best Two Years	2004	PG	112 min	73	$0.2M
Welcome to Mooseport	2004	PG-13	110 min	13	$14.2M
Confessions of a Teenage Drama Queen	2004	PG	89 min	13	$29.2M
The Passion of the Christ	2004	R	127 min	49	$370.2M
Club Dread	2004	R	104 min	29	$4.6M
Twisted	2004	R	97 min	1	$25.0M
Stateside	2004	R	97 min	24	$0.1M
Dirty Dancing: Havana Nights	2004	PG-13	86 min	22	$14.1M
Starsky & Hutch	2004	PG-13	101 min	63	$88.2M
Hidalgo	2004	PG-13	136 min	47	$67.2M
Spartan	2004	R	106 min	64	$4.3M
Agent Cody Banks 2: Destination London	2004	PG	100 min	13	$23.2M
Secret Window	2004	PG-13	96 min	46	$47.8M
NASCAR: The IMAX Experience	2004	PG	40 min	61	$19.9M
Taking Lives	2004	R	103 min	22	$32.6M
Eternal Sunshine of the Spotless Mind	2004	R	108 min	93	$34.1M
Dawn of the Dead	2004	R	101 min	75	$58.9M
Never Die Alone	2004	R	88 min	25	$5.5M
Scooby-Doo 2: Monsters Unleashed	2004	PG	93 min	21	$84.0M
Hellboy	2004	PG-13	122 min	81	$59.0M
The Prince and Me	2004	PG	111 min	28	$28.1M
Walking Tall	2004	PG-13	86 min	25	$45.9M
Home on the Range	2004	PG	76 min	54	$49.9M
Johnson Family Vacation	2004	PG-13	97 min	6	$31.0M
The Girl Next Door	2004	R	108 min	55	$14.5M
The Whole Ten Yards	2004	PG-13	98 min	4	$16.2M
Ella Enchanted	2004	PG	96 min	50	$22.8M
Connie and Carla	2004	PG-13	98 min	44	$8.0M
The Punisher	2004	R	124 min	29	$33.7M
Clifford's Really Big Movie	2004	G	73 min	53	$2.8M
Man on Fire	2004	R	146 min	39	$77.7M
13 Going on 30	2004	PG-13	98 min	64	$56.0M
Envy	2004	PG-13	99 min	7	$12.2M
Bobby Jones: Stroke of Genius	2004	PG	120 min	26	$2.5M
Godsend	2004	PG-13	102 min	4	$14.3M
Mean Girls	2004	PG-13	97 min	83	$86.0M
New York Minute	2004	PG	91 min	11	$14.0M
Troy	2004	R	163 min	54	$133.1M
Breakin' All the Rules	2004	PG-13	85 min	31	$11.8M
Shrek 2	2004	PG	93 min	88	$436.5M
A Day Without a Mexican	2004	R	100 min	27	$4.0M
Raising Helen	2004	PG-13	119 min	23	$37.4M
The Day After Tomorrow	2004	PG-13	124 min	45	$186.6M
Soul Plane	2004	R	86 min	18	$13.9M
Harry Potter and the Prisoner of Azkaban	2004	PG	142 min	91	$249.4M
Garfield	2004	PG	80 min	15	$75.3M
Saved!	2004	PG-13	92 min	61	$8.8M
The Chronicles of Riddick	2004	PG-13	119 min	29	$56.8M
The Stepford Wives	2004	PG-13	93 min	26	$59.3M
Around the World in 80 Days	2004	PG	120 min	31	$23.9M
Dodgeball: A True Underdog Story	2004	PG-13	92 min	70	$114.2M
The Terminal	2004	PG-13	128 min	61	$77.0M
White Chicks	2004	PG-13	109 min	15	$69.1M
Fahrenheit 9/11	2004	R	122 min	83	$119.1M
Spider-Man 2	2004	PG-13	127 min	94	$373.4M
King Arthur	2004	R	126 min	31	$51.7M
Sleepover	2004	PG	89 min	15	$8.1M
Anchorman: The Legend of Ron Burgundy	2004	PG-13	94 min	66	$84.1M
A Cinderella Story	2004	PG	95 min	11	$51.4M
The Clearing	2004	R	95 min	43	$5.6M
The Bourne Supremacy	2004	PG-13	108 min	81	$176.0M
Catwoman	2004	PG-13	104 min	9	$40.2M
She Hate Me	2004	R	138 min	19	$81.4k
Thunderbirds	2004	PG	95 min	19	$6.8M
The Manchurian Candidate	2004	R	129 min	81	$65.7M
The Village	2004	PG-13	108 min	43	$114.2M
Harold & Kumar Go to White Castle	2004	R	88 min	74	$18.2M
Before Sunset	2004	R	80 min	95	$5.6M
Lightning in a Bottle	2004	PG-13	103 min	87	$78.0k
De-Lovely	2004	PG-13	125 min	48	$13.1M
The Door in the Floor	2004	R	111 min	67	$3.6M
Maria Full of Grace	2004	R	101 min	97	$6.5M
Little Black Book	2004	PG-13	111 min	21	$20.4M
Collateral	2004	R	120 min	86	$100.0M
The Princess Diaries 2: Royal Engagement	2004	G	113 min	25	$95.1M
Yu-Gi-Oh!: The Movie	2004	PG	89 min	5	$19.7M
Riding Giants	2004	PG-13	105 min	93	$2.1M
AVP: Alien vs. Predator	2004	PG-13	101 min	21	$80.2M
Without a Paddle	2004	PG-13	95 min	14	$58.2M
Garden State	2004	R	102 min	86	$26.7M
Benji: Off the Leash!	2004	PG	97 min	33	$3.6M
Exorcist: The Beginning	2004	R	114 min	11	$41.8M
Napoleon Dynamite	2004	PG	96 min	71	$44.5M
Suspect Zero	2004	R	99 min	18	$8.6M
Anacondas: The Hunt for the Blood Orchid	2004	PG-13	97 min	26	$31.5M
Superbabies: Baby Geniuses 2	2004	PG	88 min	0	$9.0M
Vanity Fair	2004	PG-13	141 min	51	$16.1M
Paparazzi	2004	PG-13	84 min	18	$15.6M
Wicker Park	2004	PG-13	114 min	25	$12.8M
The Cookout	2004	PG-13	97 min	5	$11.5M
We Don't Live Here Anymore	2004	R	101 min	65	$1.9M
Gunner Palace	2004	PG-13	85 min	85	$63.5k
Cellular	2004	PG-13	94 min	55	$32.0M
Resident Evil: Apocalypse	2004	R	94 min	21	$50.7M
Mr 3000	2004	PG-13	104 min	54	$21.8M
Wimbledon	2004	PG-13	98 min	60	$16.8M
Sky Captain and the World of Tomorrow	2004	PG	106 min	72	$37.6M
First Daughter	2004	PG	106 min	8	$9.0M
The Forgotten	2004	PG-13	91 min	31	$66.6M
Shaun of the Dead	2004	R	99 min	92	$13.5M
Criminal	2004	R	87 min	69	$0.7M
Mean Creek	2004	R	90 min	90	$0.3M
Shark Tale	2004	PG	90 min	35	$160.8M
Going Upriver: The Long War of John Kerry	2004	PG-13	87 min	89	$0.5M
Taxi	2004	PG-13	97 min	10	$36.5M
Friday Night Lights	2004	PG-13	118 min	81	$60.6M
Raise Your Voice	2004	PG	103 min	15	$10.4M
A Home at the End of the World	2004	R	97 min	49	$0.9M
Shall We Dance	2004	PG-13	106 min	46	$57.8M
Team America: World Police	2004	R	98 min	77	$32.7M
The Motorcycle Diaries	2004	R	126 min	84	$16.7M
Hair Show	2004	PG-13	105 min	17	$0.2M
The Final Cut	2004	PG-13	95 min	37	$0.5M
Surviving Christmas	2004	PG-13	91 min	7	$11.2M
Woman Thou Art Loosed	2004	R	94 min	50	$6.8M
The Assassination of Richard Nixon	2004	R	95 min	68	$0.6M
I Heart Huckabees	2004	R	107 min	62	$12.7M
The Grudge	2004	PG-13	92 min	39	$110.2M
Birth	2004	R	100 min	38	$5.0M
Thérèse: The Story of Saint Thérèse of Lisieux	2004	PG	96 min	11	$0.6M
Saw	2004	R	103 min	48	$0.7M
Ray	2004	PG-13	152 min	81	$75.2M
Alfie	2004	R	103 min	49	$13.4M
The Last Shot	2004	R	93 min	61	$0.4M
Fade to Black	2004	R	109 min	58	$1.0M
The Polar Express	2004	G	100 min	55	$0.5M
Seed of Chucky	2004	R	87 min	32	$17.0M
After the Sunset	2004	PG-13	97 min	18	$28.3M
The SpongeBob SquarePants Movie	2004	PG	87 min	68	$85.4M
Bridget Jones: The Edge of Reason	2004	R	108 min	27	$40.2M
National Treasure	2004	PG	131 min	44	$173.0M
Alexander	2004	R	175 min	16	$34.3M
Christmas with the Kranks	2004	PG	99 min	5	$73.7M
Eros	2004	R	104 min	34	$53.7k
The Machinist	2004	R	101 min	77	$0.9M
Blade: Trinity	2004	R	113 min	26	$52.4M
Ocean's Twelve	2004	PG-13	125 min	55	$125.4M
Closer	2004	R	104 min	68	$34.0M
Spanglish	2004	PG-13	131 min	53	$42.0M
Flight of the Phoenix	2004	PG-13	113 min	30	$20.9M
Lemony Snicket's A Series of Unfortunate Events	2004	PG	108 min	72	$118.5M
Meet the Fockers	2004	PG-13	115 min	38	$279.2M
The Phantom of the Opera	2004	PG-13	143 min	32	$51.2M
Fat Albert	2004	PG	93 min	25	$48.0M
The Aviator	2004	PG-13	170 min	87	$102.6M
Beyond the Sea	2004	PG-13	118 min	42	$6.1M
Kinsey	2004	R	118 min	90	$10.2M
Duck Season	2004	R	90 min	90	$0.1M
A Very Long Engagement	2004	R	133 min	78	$6.2M
In Good Company	2004	PG-13	109 min	83	$45.5M
Around the Bend	2004	R	85 min	28	$0.1M
Sideways	2004	R	126 min	96	$71.4M
A Love Song for Bobby Long	2004	R	119 min	43	$0.1M
The Work and the Glory	2004	PG	118 min	17	$3.0M
Million Dollar Baby	2004	PG-13	132 min	91	$100.4M
Riding the Bullet	2004	R	98 min	27	$0.1M
Hotel Rwanda	2004	PG-13	121 min	90	$23.5M
P.S.	2004	R	97 min	55	$0.1M
Being Julia	2004	R	104 min	76	$7.7M
The Merchant of Venice	2004	R	138 min	72	$3.8M
Eulogy	2004	R	91 min	32	$41.8k
Born Into Brothels: Calcutta's Red Light Kids	2004	R	85 min	96	$3.4M
Bride & Prejudice	2004	PG-13	122 min	64	$6.5M
Melinda and Melinda	2004	PG-13	99 min	53	$3.7M
House of D	2004	PG-13	97 min	10	$0.4M
Jiminy Glick in Lalawood	2004	R	90 min	22	$25.7k
Crash	2004	R	112 min	75	$55.4M
A Good Woman	2004	PG	93 min	37	$97.1k
Primer	2004	PG-13	77 min	72	$0.4M
Saving Face	2004	R	91 min	87	$1.0M
Yes	2004	R	100 min	52	$0.2M
My Date with Drew	2004	PG	90 min	71	$85.2k
Innocent Voices	2004	R	120 min	71	$0.2M
Winter Solstice	2004	R	90 min	60	$0.2M
Paper Clips	2004	G	82 min	72	$1.0M
Haven	2004	R	115 min	13	$0.1M
Romance & Cigarettes	2005	R	105 min	54	$0.4M
The Dying Gaul	2005	R	101 min	49	$0.3M
The Salon	2005	PG-13	90 min	12	$92.4k
Why We Fight	2005	PG-13	98 min	78	$1.9M
White Noise	2005	PG-13	101 min	8	$55.9M
Elektra	2005	PG-13	97 min	10	$24.3M
Racing Stripes	2005	PG	102 min	35	$49.2M
Coach Carter	2005	PG-13	136 min	65	$67.2M
Assault on Precinct 13	2005	R	109 min	60	$20.0M
Are We There Yet?	2005	PG	95 min	11	$82.3M
Hide and Seek	2005	R	101 min	13	$51.0M
Alone in the Dark	2005	R	96 min	1	$5.1M
Boogeyman	2005	PG-13	89 min	13	$46.4M
The Wedding Date	2005	PG-13	90 min	10	$32.0M
Hitch	2005	PG-13	118 min	69	$177.6M
Pooh's Heffalump Movie	2005	G	68 min	79	$18.0M
Constellation	2005	PG-13	96 min	0	$0.2M
Constantine	2005	R	121 min	46	$75.5M
Because of Winn-Dixie	2005	PG	106 min	54	$32.6M
Son of the Mask	2005	PG	94 min	6	$17.0M
Diary of a Mad Black Woman	2005	PG-13	116 min	16	$50.4M
Man of the House	2005	PG-13	100 min	9	$19.1M
The Jacket	2005	R	103 min	44	$6.3M
The Pacifier	2005	PG	95 min	20	$113.0M
Be Cool	2005	PG-13	118 min	30	$55.6M
Hostage	2005	R	113 min	35	$34.6M
Robots	2005	PG	91 min	64	$128.1M
The Ring Two	2005	PG-13	110 min	20	$75.9M
Ice Princess	2005	G	98 min	52	$24.4M
Miss Congeniality 2: Armed and Fabulous	2005	PG-13	115 min	15	$48.4M
Guess Who	2005	PG-13	105 min	43	$68.0M
Beauty Shop	2005	PG-13	105 min	37	$36.3M
The Upside of Anger	2005	R	118 min	74	$18.7M
The Ballad of Jack and Rose	2005	R	112 min	47	$0.6M
Fever Pitch	2005	PG-13	104 min	65	$42.0M
Sahara	2005	PG-13	124 min	39	$68.6M
State Property 2	2005	R	94 min	14	$1.7M
Down and Derby	2005	PG	90 min	22	$43.9k
The Amityville Horror	2005	R	90 min	23	$64.3M
The Great New Wonderful	2005	R	87 min	73	$39.7k
The Interpreter	2005	PG-13	128 min	56	$72.5M
A Lot Like Love	2005	PG-13	107 min	41	$21.8M
Dust to Glory	2005	PG	97 min	60	$0.6M
The Game of Their Lives	2005	PG	101 min	26	$0.4M
King's Ransom	2005	PG-13	95 min	2	$4.0M
Madison	2005	PG	99 min	29	$0.5M
Factotum	2005	R	94 min	76	$0.6M
xXx: State of the Union	2005	PG-13	101 min	16	$26.1M
House of Wax	2005	R	113 min	25	$32.0M
Kingdom of Heaven	2005	R	144 min	39	$47.3M
Last Days	2005	R	97 min	57	$0.4M
Monster-in-Law	2005	PG-13	101 min	16	$82.8M
Unleashed	2005	R	103 min	65	$24.4M
Kicking & Screaming	2005	PG	95 min	41	$52.6M
Star Wars: Episode III - Revenge of the Sith	2005	PG-13	140 min	80	$380.2M
Dominion: Prequel to the Exorcist	2005	R	117 min	30	$0.2M
The Longest Yard	2005	PG-13	113 min	31	$158.0M
Madagascar	2005	PG	86 min	55	$193.1M
Duma	2005	PG	100 min	93	$0.8M
The Sisterhood of the Traveling Pants	2005	PG	119 min	77	$43.5M
Cinderella Man	2005	PG-13	144 min	80	$61.6M
Lords of Dogtown	2005	PG-13	107 min	55	$11.0M
Mr. & Mrs. Smith	2005	PG-13	120 min	59	$186.1M
The Honeymooners	2005	PG-13	90 min	14	$12.8M
Batman Begins	2005	PG-13	140 min	85	$205.2M
The Perfect Man	2005	PG	100 min	6	$16.2M
Herbie Fully Loaded	2005	G	101 min	41	$65.9M
Bewitched	2005	PG-13	102 min	25	$62.3M
Land of the Dead	2005	R	93 min	74	$20.4M
Rize	2005	PG-13	86 min	83	$3.3M
War of the Worlds	2005	PG-13	116 min	74	$234.1M
Mad Hot Ballroom	2005	PG	105 min	84	$7.9M
Rebound	2005	PG	103 min	13	$16.7M
Dark Water	2005	PG-13	105 min	46	$25.4M
Fantastic Four	2005	PG-13	106 min	26	$154.5M
Heights	2005	R	93 min	64	$1.0M
Charlie and the Chocolate Factory	2005	PG	115 min	83	$206.4M
Wedding Crashers	2005	R	119 min	75	$209.2M
March of the Penguins	2005	G	80 min	94	$77.4M
The Island	2005	PG-13	136 min	40	$35.8M
Hustle & Flow	2005	R	116 min	82	$22.1M
The Devil's Rejects	2005	R	107 min	53	$16.9M
Stealth	2005	PG-13	121 min	13	$31.7M
Sky High	2005	PG	100 min	73	$63.9M
Must Love Dogs	2005	PG-13	98 min	35	$43.8M
Happy Endings	2005	R	128 min	54	$1.2M
The Wendell Baker Story	2005	PG-13	99 min	40	$48.1k
The Dukes of Hazzard	2005	PG-13	104 min	13	$80.2M
Murderball	2005	R	88 min	98	$1.3M
Me and You and Everyone We Know	2005	R	91 min	81	$3.7M
Deuce Bigalow: European Gigolo	2005	R	83 min	9	$22.3M
The Skeleton Key	2005	PG-13	104 min	38	$47.7M
The Great Raid	2005	R	132 min	37	$10.1M
Supercross	2005	PG-13	80 min	6	$3.0M
Valiant	2005	G	76 min	31	$19.4M
The 40-Year-Old Virgin	2005	R	116 min	85	$109.2M
Red Eye	2005	PG-13	85 min	79	$57.9M
Don't Come Knocking	2005	R	122 min	42	$0.3M
Aliens of the Deep	2005	G	100 min	84	$8.3M
Broken Flowers	2005	R	106 min	88	$13.6M
The Cave	2005	PG-13	97 min	11	$14.9M
Undiscovered	2005	PG-13	97 min	8	$1.0M
The Constant Gardener	2005	R	129 min	84	$33.6M
Grizzly Man	2005	R	103 min	93	$2.9M
A Sound of Thunder	2005	PG-13	101 min	6	$1.7M
Underclassman	2005	PG-13	95 min	6	$5.6M
Nine Lives	2005	R	115 min	75	$0.1M
Mobsters and Mormons	2005	PG	90 min	75	$67.9k
The Man	2005	PG-13	83 min	11	$8.3M
Green Street Hooligans	2005	R	109 min	47	$0.1M
Lord of War	2005	R	122 min	61	$24.0M
An Unfinished Life	2005	PG-13	108 min	53	$8.5M
Cry_Wolf	2005	PG-13	90 min	22	$10.0M
Just Like Heaven	2005	PG-13	95 min	56	$48.3M
Venom	2005	R	85 min	11	$0.8M
Junebug	2005	R	106 min	86	$2.4M
Corpse Bride	2005	PG	77 min	83	$53.3M
Flightplan	2005	PG-13	98 min	38	$89.6M
The Thing About My Folks	2005	PG-13	96 min	45	$0.7M
A History of Violence	2005	R	96 min	87	$31.4M
Serenity	2005	PG-13	119 min	82	$25.3M
Into the Blue	2005	PG-13	110 min	21	$18.5M
The Greatest Game Ever Played	2005	PG	120 min	63	$15.3M
In Her Shoes	2005	PG-13	130 min	75	$32.8M
Thumbsucker	2005	R	96 min	71	$1.1M
Two for the Money	2005	R	122 min	22	$22.9M
Waiting...	2005	R	94 min	31	$16.1M
The Gospel	2005	PG	105 min	32	$15.8M
Proof	2005	PG-13	100 min	62	$7.5M
The Curse of the Were-Rabbit	2005	G	85 min	95	$56.1M
Elizabethtown	2005	PG-13	123 min	28	$26.8M
The Fog	2005	PG-13	100 min	4	$29.5M
Everything Is Illuminated	2005	PG-13	106 min	66	$1.6M
Stay	2005	R	99 min	27	$3.3M
North Country	2005	R	126 min	68	$18.3M
The Work and the Glory II: American Zion	2005	PG-13	100 min	45	$1.9M
Doom	2005	R	105 min	19	$28.0M
El vacilón: The Movie	2005	R	90 min	0	$1.7M
Dreamer: Inspired by a True Story	2005	PG	106 min	64	$33.0M
Prime	2005	PG-13	105 min	50	$22.7M
The Weather Man	2005	R	102 min	58	$12.5M
Saw II	2005	R	93 min	36	$87.0M
The Legend of Zorro	2005	PG	129 min	26	$45.4M
Shopgirl	2005	R	106 min	61	$10.1M
Jarhead	2005	R	125 min	61	$62.6M
Chicken Little	2005	G	81 min	36	$135.3M
"Good Night, and Good Luck."	2005	PG	93 min	93	$31.5M
Get Rich or Die Tryin'	2005	R	117 min	16	$30.9M
Zathura: A Space Adventure	2005	PG	101 min	75	$28.0M
Derailed	2005	R	108 min	20	$35.9M
Harry Potter and the Goblet of Fire	2005	PG-13	157 min	88	$290.0M
Kiss Kiss Bang Bang	2005	R	103 min	85	$4.2M
Walk the Line	2005	PG-13	136 min	82	$119.3M
In the Mix	2005	PG-13	95 min	14	$10.1M
"Yours, Mine & Ours"	2005	PG	90 min	6	$53.4M
Rent	2005	PG-13	135 min	46	$29.1M
Pride & Prejudice	2005	PG	129 min	85	$38.3M
Just Friends	2005	PG-13	96 min	41	$32.6M
Bee Season	2005	PG-13	104 min	43	$1.1M
First Descent	2005	PG-13	110 min	52	$0.7M
Æon Flux	2005	PG-13	93 min	10	$25.9M
Down in the Valley	2005	R	114 min	52	$0.4M
Syriana	2005	R	128 min	72	$50.8M
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	2005	PG	143 min	76	$291.7M
King Kong	2005	PG-13	187 min	84	$218.1M
The Family Stone	2005	PG-13	103 min	51	$59.9M
The Squid and the Whale	2005	R	81 min	93	$7.1M
Fun with Dick and Jane	2005	PG-13	90 min	29	$110.3M
Cheaper by the Dozen 2	2005	PG	94 min	6	$82.5M
The Ringer	2005	PG-13	94 min	40	$35.0M
Memoirs of a Geisha	2005	PG-13	145 min	35	$57.0M
The Producers	2005	PG-13	134 min	51	$19.2M
Rumor Has It...	2005	PG-13	97 min	20	$42.7M
Little Manhattan	2005	PG	90 min	77	$0.4M
BloodRayne	2005	R	95 min	4	$1.6M
Casanova	2005	R	112 min	44	$11.2M
Hostel	2005	R	94 min	61	$47.3M
Munich	2005	R	164 min	78	$47.4M
Marilyn Hotchkiss' Ballroom Dancing & Charm School	2005	PG-13	103 min	22	$0.2M
Hoodwinked!	2005	PG	80 min	46	$50.8M
Brokeback Mountain	2005	R	134 min	87	$83.0M
End of the Spear	2005	PG-13	108 min	40	$11.7M
Match Point	2005	R	124 min	76	$23.1M
The New World	2005	PG-13	135 min	62	$12.5M
Looking for Comedy in the Muslim World	2005	PG-13	98 min	42	$0.8M
Nanny McPhee	2005	PG	97 min	73	$47.1M
The Matador	2005	R	96 min	74	$12.4M
Capote	2005	R	114 min	90	$28.3M
Mrs Henderson Presents	2005	R	103 min	67	$11.0M
The Three Burials of Melquiades Estrada	2005	R	121 min	85	$4.9M
Transamerica	2005	R	103 min	76	$8.7M
Block Party	2005	R	103 min	92	$11.7M
Mirrormask	2005	PG	101 min	54	$0.8M
V for Vendetta	2005	R	132 min	73	$70.5M
The World's Fastest Indian	2005	PG-13	127 min	82	$5.0M
The White Countess	2005	PG-13	135 min	50	$1.6M
Wassup Rockers	2005	R	111 min	36	$0.1M
When Do We Eat?	2005	R	86 min	42	$0.4M
Brick	2005	R	110 min	80	$2.0M
Preaching to the Choir	2005	PG-13	103 min	36	$0.3M
Thank You for Smoking	2005	R	92 min	86	$24.6M
La mujer de mi hermano	2005	R	89 min	20	$2.8M
Hard Candy	2005	R	104 min	68	$1.0M
The Promise	2005	PG-13	121 min	31	$0.6M
The Notorious Bettie Page	2005	R	91 min	56	$1.4M
An American Haunting	2005	PG-13	83 min	12	$16.2M
Goal! The Dream Begins	2005	PG-13	118 min	44	$4.2M
Pretty Persuasion	2005	R	104 min	32	$58.6k
The Lost City	2005	R	144 min	25	$2.4M
Kinky Boots	2005	PG-13	107 min	57	$1.7M
The Heart of the Game	2005	PG-13	97 min	86	$0.4M
Shadowboxer	2005	R	93 min	18	$0.3M
Strangers with Candy	2005	R	97 min	52	$1.9M
Leonard Cohen: I'm Your Man	2005	PG-13	105 min	69	$0.8M
Boynton Beach Club	2005	R	105 min	60	$3.0M
The Quiet	2005	R	96 min	21	$0.3M
Trust the Man	2005	R	103 min	27	$1.5M
Lassie	2005	PG	100 min	93	$0.5M
The Protector	2005	R	81 min	54	$11.9M
Harsh Times	2005	R	116 min	48	$3.3M
